# BEAST v1.8.2, r6687
# Generated Sat Oct 15 15:06:21 CEST 2016 [seed=1476536779168]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(untitled1)	yule.birthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	treeLikelihood	speciation
0	-3991957.1458734516	-3872835.291398909	-119121.85447454247	249.2942989169369	249.2942989169369	2600.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	-119121.85447454247	-3872602.860676756
10000	-73927.58458031394	11.36909355844449	-73938.95367387238	4.486178481039663	4.486178481039663	4.230667937446983	4.056258754963805	0.24240161948469227	0.24758971345541186	0.24799648552438505	0.26201218153551087	0.3460526838301703	1.0	-73938.95367387238	244.22017104245688
20000	-60480.47837580247	289.8436770746564	-60770.32205287713	1.3357427606606793	1.3357427606606793	7.213937796932505	4.113899256929194	0.24792753292500594	0.2536080829504193	0.2141127781201313	0.2843516060044435	0.3460526838301703	1.0	-60770.32205287713	522.7125430933254
30000	-52071.28709493898	411.5738500516194	-52482.8609449906	0.5588137508729683	0.5588137508729683	9.30152959433286	4.570789142278257	0.24663184307196337	0.23823136274129933	0.19791262286645658	0.3172241713202808	0.3552011895657073	1.0	-52482.8609449906	644.5978059916738
40000	-46038.89316291459	576.0787435614359	-46614.97190647602	0.39087397371344607	0.39087397371344607	13.107846644464425	4.593325779769936	0.23556707792441958	0.24088048842108892	0.18493886453314545	0.33861356912134616	0.3067731011816277	1.0	-46614.97190647602	809.0124054054178
50000	-40562.08530111751	666.5215507579488	-41228.60685187546	0.2863133387537507	0.28527324788885106	15.270474151946265	4.981314711863735	0.2422729190648635	0.23332444647010828	0.18023525728426174	0.34416737718076656	0.31112655683370705	1.0	-41228.60685187546	899.5743387440862
60000	-36567.47973089719	740.1206612963429	-37307.60039219353	0.24982235717532592	0.24724634940585594	17.199910542219477	5.201155166480999	0.26339125683258585	0.2135912440964103	0.17885012189023736	0.34416737718076656	0.30387312970773417	1.0	-37307.60039219353	973.2194672996097
70000	-33508.76001269935	769.7377898662997	-34278.497802565646	0.277425164155499	0.277425164155499	18.735444231081473	5.766243801224012	0.25837580466546306	0.21282626051069675	0.17885012189023736	0.34994781293360294	0.293623013152528	1.0	-34278.497802565646	1002.9654723065369
80000	-30383.00503965495	811.6547666856312	-31194.65980634058	0.3432429344387803	0.3432429344387803	20.081251199349218	6.6701547774626135	0.27309725062378587	0.2096939821815635	0.1500957051209133	0.36711306207373745	0.31010730633318506	1.0	-31194.65980634058	1045.1379127492353
90000	-28024.50023367319	875.2760604093387	-28899.776294082527	0.3873355814123361	0.3873355814123361	22.085162312411416	6.361950586283977	0.27298471776535693	0.21378969738339493	0.1449671990656181	0.3682583857856302	0.2898764229817806	1.0	-28899.776294082527	1108.6449747751706
100000	-25719.53127110314	916.4969651821716	-26636.02823628531	0.33524954955880426	0.33524954955880426	25.560893163153082	6.5553185648235965	0.29004038628217504	0.19881019754779058	0.12387675372509699	0.3872726624449376	0.2976689612810772	1.0	-26636.02823628531	1149.9279878931557
110000	-23427.169954780173	931.7711386216071	-24358.94109340178	0.4149207592426803	0.4149207592426803	26.549757485223516	7.525531184554499	0.2945015612260213	0.18212054219816176	0.11065224154573326	0.4127256550300839	0.30021503221642104	1.0	-24358.94109340178	1165.4291343623943
120000	-22054.12535861107	1028.4598158336419	-23082.58517444471	0.3432806826562313	0.3432806826562313	30.258960867038656	8.23190382964016	0.3102035116696669	0.15686330006182614	0.11093072348201036	0.4220024647864968	0.2877432166503178	1.0	-23082.58517444471	1262.2436285454573
130000	-20758.236634152898	1069.3747610708301	-21827.61139522373	0.3597424422168607	0.3597424422168607	33.955954932623094	7.9684203234282185	0.31570563489734343	0.15239941335300328	0.11703110588343857	0.4148638458662149	0.2846954310491334	1.0	-21827.61139522373	1303.0972170362677
140000	-19776.295151091177	1100.8383165096625	-20877.13346760084	0.26926922034857886	0.26926922034857886	37.90307205957043	7.933449422995235	0.33148152875834697	0.15912063693167466	0.11483151320468246	0.39456632110529616	0.2715959348552412	1.0	-20877.13346760084	1334.5271538976115
150000	-18522.65603085454	1148.8084992144131	-19671.464530068955	0.34755064421691173	0.34755064421691173	40.55261334729188	9.138104422697932	0.35709134627197975	0.14005656755379953	0.10443422462891894	0.39841786154530207	0.26942794906995393	1.0	-19671.464530068955	1382.7376657920177
160000	-17767.89888576926	1152.2709046586403	-18920.1697904279	0.324872982077699	0.324872982077699	41.62109873549757	8.980360642082724	0.3700867090768794	0.13974765883549692	0.10876530351562047	0.38140032857200346	0.26855566806167097	1.0	-18920.1697904279	1386.1674988649313
170000	-17238.750212531544	1191.0842604662457	-18429.83447299779	0.30713095306420557	0.30713095306420557	43.77180452692694	9.010095261553177	0.3748994758622193	0.14519659893600398	0.10777516070884496	0.372128764492932	0.2837431340798231	1.0	-18429.83447299779	1425.0170669129334
180000	-16760.87638193705	1228.123859564514	-17989.000241501566	0.26517645362646797	0.26517645362646797	42.352877681469195	9.771948702134246	0.38928255152790675	0.13512800882851664	0.10777516070884496	0.36781427893473184	0.23936383581303874	1.0	-17989.000241501566	1462.1134388468831
190000	-16568.27628480358	1242.9961032847061	-17811.272388088288	0.25684431194257146	0.25684431194257146	47.213519734915366	9.053498037284042	0.3847451354716343	0.14093301333439495	0.10895916907692944	0.36536268211704154	0.2589096421701008	1.0	-17811.272388088288	1476.8877412831127
200000	-16486.91044642644	1250.327947722764	-17737.2383941492	0.3021658342899819	0.3021658342899819	44.84384614146513	9.80092584029499	0.3976676209760507	0.13156073064313858	0.11355068339410009	0.3572209649867108	0.23573729751268427	1.0	-17737.2383941492	1484.315662378387
210000	-16399.592076222383	1263.8524390244359	-17663.444515246818	0.22006812972769266	0.21930869535837863	54.538401576877	10.383981653048732	0.4026773446013048	0.1277700532706181	0.11223711700889487	0.3573154851191824	0.24368621059767237	1.0	-17663.444515246818	1497.9623388080088
220000	-16392.62735292339	1265.7752589414079	-17658.4026118648	0.28235562106877726	0.28235562106877726	45.42944537862159	9.674191001002374	0.40139025525408123	0.13117285567597237	0.11190526204326284	0.35553162702668367	0.23951399941522505	1.0	-17658.4026118648	1499.7468832573793
230000	-16336.06123719783	1267.17922081045	-17603.24045800828	0.27171593429102475	0.27171593429102475	47.858528823880555	9.567691887103637	0.39838071622396354	0.1328575848250757	0.11475503902423351	0.3540066599267274	0.24982167692872195	1.0	-17603.24045800828	1501.1514364935115
240000	-16302.284596589107	1301.3369274476454	-17603.621524036753	0.2633942067628929	0.2633942067628929	50.30323508900736	9.820543815612444	0.3993380074013983	0.13167537789773343	0.10400825203135841	0.36497836266951	0.25800745328884156	1.0	-17603.621524036753	1535.3728246174348
250000	-16385.733320092477	1262.5186137807075	-17648.251933873184	0.2361335019850824	0.2361335019850824	48.54120511505761	9.322021909504187	0.36729423032862185	0.1353846730268898	0.1116177542223088	0.38570334242217974	0.2458327922906773	1.0	-17648.251933873184	1496.4361061092022
260000	-16319.332325048394	1306.4904618909873	-17625.82278693938	0.2093545235164855	0.19181556194801352	54.495607510110844	8.760679172117776	0.3643989196550751	0.1343881575004604	0.11113780581409922	0.39007511703036546	0.2556826602842638	1.0	-17625.82278693938	1540.3177976184863
270000	-16296.824873359814	1254.8551500531153	-17551.68002341293	0.31087693864194865	0.31087693864194865	46.60378970609654	8.760679172117776	0.3702250474401868	0.1376285960698931	0.11797708976330684	0.3741692667266135	0.26092422257729886	1.0	-17551.68002341293	1488.6929689052004
